run,first_cam_frame,last_cam_frame,adv_per_cam_frame,est_cam_fps,id_lo,id_hi,ids_generated,ids_seen,ids_never_seen,pct_never_seen,never_seen
1,122,303,0.467,257,1,85,85,85,0,0.0,
2,395,578,0.467,257,1,86,86,84,2,2.3,043 065
