run,condition,card,first_cam_frame,last_cam_frame,travel_px,step_per_refresh_px,holds,pct_hold_1_refresh,pct_hold_2plus_refresh,max_hold_cam_frames
1,both,A,233,387,449.2,6.24,51,56.9,43.1,6
1,both,B,233,387,449.8,6.25,51,56.9,43.1,6
2,both,A,479,633,447.4,6.21,50,54.0,46.0,6
2,both,B,479,633,379.0,5.26,44,56.8,43.2,15
3,both,A,751,905,448.6,6.23,52,59.6,40.4,6
3,both,B,751,905,449.1,6.24,52,59.6,40.4,6
4,both,A,1021,1175,448.0,6.22,53,62.3,37.7,6
4,both,B,1021,1175,437.2,6.07,52,61.5,36.5,7
